Shipment ID,Carrier,Origin,Destination
SHP-1228,Delhivery,Mysore,Solapur
SHP-1229,QuickShip,Visakhapatnam,Jabalpur
SHP-1230,QuickShip,Patna,Bhopal
SHP-1231,Delhivery,Chandigarh,Kota
SHP-1232,QuickShip,Bhopal,Noida
SHP-1233,Delhivery,Rajkot,Gwalior
SHP-1234,Delhivery,Delhi,Bhopal
SHP-1235,RapidMove,Jodhpur,Howrah
SHP-1236,FastFreight,Ludhiana,Lucknow
SHP-1237,QuickShip,Chandigarh,Kota
SHP-1238,FastFreight,Patna,Thane
SHP-1239,Delhivery,Jabalpur,Ludhiana
SHP-1240,FastFreight,Jabalpur,Raipur
SHP-1241,Delhivery,Gurgaon,Vijayawada
SHP-1242,BlueDart,Patna,Rajkot
SHP-1243,FastFreight,Navi Mumbai,Vadodara
SHP-1244,RapidMove,Guwahati,Visakhapatnam
SHP-1245,Delhivery,Ranchi,Howrah
SHP-1246,BlueDart,Gurgaon,Srinagar
SHP-1247,BlueDart,Ahmedabad,Bangalore
SHP-1248,FastFreight,Gurgaon,Delhi
SHP-1249,FastFreight,Vijayawada,Srinagar
SHP-1250,Delhivery,Ludhiana,Ahmedabad
SHP-1251,RapidMove,Noida,Hyderabad
SHP-1252,Delhivery,Madurai,Vijayawada
SHP-1253,Delhivery,Kota,Ghaziabad
SHP-1254,Delhivery,Raipur,Madurai
SHP-1255,RapidMove,Howrah,Kolkata
SHP-1256,RapidMove,Solapur,Ahmedabad
SHP-1257,QuickShip,Mysore,Kolkata
SHP-1258,QuickShip,Patna,Ahmedabad
SHP-1259,BlueDart,Agra,Gwalior
SHP-1260,RapidMove,Ranchi,Ghaziabad
SHP-1261,FastFreight,Bhopal,Varanasi
SHP-1262,RapidMove,Bangalore,Varanasi
SHP-1263,BlueDart,Visakhapatnam,Nashik
SHP-1264,Delhivery,Visakhapatnam,Hyderabad
SHP-1265,FastFreight,Jaipur,Amritsar
SHP-1266,BlueDart,Delhi,Raipur
SHP-1267,BlueDart,Nagpur,Navi Mumbai
SHP-1268,RapidMove,Navi Mumbai,Solapur
SHP-1269,Delhivery,Chandigarh,Jabalpur
SHP-1270,RapidMove,Pune,Srinagar
SHP-1271,BlueDart,Indore,Howrah
SHP-1272,BlueDart,Howrah,Jabalpur
SHP-1273,BlueDart,Bhopal,Kolkata
SHP-1274,RapidMove,Nagpur,Solapur
SHP-1275,RapidMove,Jabalpur,Noida
SHP-1276,BlueDart,Thane,Noida
SHP-1277,FastFreight,Varanasi,Raipur
SHP-1278,RapidMove,Rajkot,Ghaziabad
SHP-1279,BlueDart,Bhopal,Delhi
SHP-1280,Delhivery,Jaipur,Noida
SHP-1281,QuickShip,Jaipur,Agra
SHP-1282,Delhivery,Guwahati,Thane
SHP-1283,QuickShip,Ahmedabad,Navi Mumbai
SHP-1284,QuickShip,Ludhiana,Hyderabad
SHP-1285,Delhivery,Madurai,Lucknow
SHP-1286,BlueDart,Madurai,Lucknow
SHP-1287,QuickShip,Ghaziabad,Gurgaon
SHP-1288,QuickShip,Meerut,Nashik
SHP-1289,FastFreight,Amritsar,Varanasi
SHP-1290,RapidMove,Jaipur,Thane
SHP-1291,FastFreight,Visakhapatnam,Bangalore
SHP-1292,Delhivery,Jabalpur,Pune
SHP-1293,Delhivery,Jaipur,Meerut
SHP-1294,FastFreight,Gurgaon,Noida
SHP-1295,Delhivery,Hyderabad,Mysore
SHP-1296,QuickShip,Vijayawada,Guwahati
SHP-1297,Delhivery,Madurai,Howrah
SHP-1298,RapidMove,Delhi,Vadodara
SHP-1299,QuickShip,Nashik,Raipur
SHP-1300,FastFreight,Gwalior,Nagpur
SHP-1301,FastFreight,Mysore,Howrah
SHP-1302,RapidMove,Rajkot,Visakhapatnam
SHP-1303,QuickShip,Indore,Mysore
SHP-1304,FastFreight,Ahmedabad,Vadodara
SHP-1305,Delhivery,Meerut,Rajkot
SHP-1306,Delhivery,Jaipur,Varanasi
SHP-1307,Delhivery,Srinagar,Ahmedabad
SHP-1308,RapidMove,Delhi,Kolkata
SHP-1309,QuickShip,Varanasi,Patna
SHP-1310,QuickShip,Indore,Visakhapatnam
SHP-1311,RapidMove,Jaipur,Bhopal
SHP-1312,FastFreight,Vijayawada,Visakhapatnam
SHP-1313,QuickShip,Chandigarh,Chennai
SHP-1314,FastFreight,Nagpur,Jabalpur
SHP-1315,FastFreight,Nashik,Solapur
SHP-1316,Delhivery,Pune,Mumbai
SHP-1317,RapidMove,Nagpur,Jabalpur
SHP-1318,FastFreight,Nashik,Pune
SHP-1319,Delhivery,Kota,Vijayawada
SHP-1320,Delhivery,Visakhapatnam,Nagpur
SHP-1321,FastFreight,Ahmedabad,Hyderabad
SHP-1322,Delhivery,Raipur,Faridabad
SHP-1323,FastFreight,Indore,Jabalpur
SHP-1324,QuickShip,Nashik,Amritsar
SHP-1325,QuickShip,Ranchi,Ludhiana
SHP-1326,FastFreight,Kolkata,Nashik
SHP-1327,QuickShip,Gwalior,Agra
SHP-1328,RapidMove,Varanasi,Meerut
SHP-1329,RapidMove,Chennai,Indore
SHP-1330,Delhivery,Indore,Visakhapatnam
SHP-1331,FastFreight,Ghaziabad,Lucknow
SHP-1332,Delhivery,Mysore,Thane
SHP-1333,Delhivery,Vijayawada,Amritsar
SHP-1334,QuickShip,Pune,Mumbai
SHP-1335,QuickShip,Indore,Delhi
SHP-1336,Delhivery,Vadodara,Amritsar
SHP-1337,RapidMove,Navi Mumbai,Faridabad
SHP-1338,BlueDart,Ludhiana,Ahmedabad
SHP-1339,Delhivery,Jodhpur,Ranchi
SHP-1340,BlueDart,Vijayawada,Vadodara
SHP-1341,RapidMove,Delhi,Mumbai
SHP-1342,BlueDart,Jodhpur,Nashik
SHP-1343,RapidMove,Lucknow,Srinagar
SHP-1344,BlueDart,Jaipur,Nagpur
SHP-1345,QuickShip,Thane,Faridabad
SHP-1346,RapidMove,Bangalore,Raipur
SHP-1347,BlueDart,Ranchi,Indore
SHP-1348,RapidMove,Faridabad,Mumbai
SHP-1349,Delhivery,Madurai,Mysore
SHP-1350,FastFreight,Meerut,Madurai
SHP-1351,BlueDart,Madurai,Ghaziabad
SHP-1352,Delhivery,Raipur,Bhopal
SHP-1353,RapidMove,Visakhapatnam,Madurai
SHP-1354,BlueDart,Guwahati,Patna
SHP-1355,BlueDart,Visakhapatnam,Srinagar
SHP-1356,QuickShip,Visakhapatnam,Howrah
SHP-1357,RapidMove,Lucknow,Ghaziabad
SHP-1358,QuickShip,Guwahati,Amritsar
SHP-1359,BlueDart,Madurai,Jodhpur
SHP-1360,BlueDart,Ranchi,Patna
SHP-1361,FastFreight,Delhi,Ghaziabad
SHP-1362,RapidMove,Nashik,Nagpur
SHP-1363,Delhivery,Vijayawada,Faridabad
SHP-1364,QuickShip,Amritsar,Noida
SHP-1365,FastFreight,Indore,Kota
SHP-1366,BlueDart,Srinagar,Bangalore
SHP-1367,FastFreight,Howrah,Visakhapatnam
SHP-1368,FastFreight,Madurai,Vadodara
SHP-1369,RapidMove,Chandigarh,Kolkata
SHP-1370,Delhivery,Rajkot,Ranchi
SHP-1371,RapidMove,Chandigarh,Surat
SHP-1372,BlueDart,Kota,Thane
SHP-1373,BlueDart,Patna,Lucknow
SHP-1374,BlueDart,Meerut,Noida
SHP-1375,Delhivery,Nagpur,Rajkot
SHP-1376,RapidMove,Gwalior,Pune
SHP-1377,QuickShip,Thane,Chandigarh
SHP-1378,Delhivery,Jabalpur,Surat
SHP-1379,QuickShip,Raipur,Mysore
SHP-1380,FastFreight,Faridabad,Agra
SHP-1381,RapidMove,Patna,Hyderabad
SHP-1382,QuickShip,Kota,Visakhapatnam
SHP-1383,QuickShip,Vadodara,Kolkata
SHP-1384,BlueDart,Srinagar,Jodhpur
SHP-1385,RapidMove,Guwahati,Nashik
SHP-1386,FastFreight,Agra,Thane
SHP-1387,RapidMove,Kota,Nagpur
SHP-1388,FastFreight,Ahmedabad,Ludhiana
SHP-1389,QuickShip,Rajkot,Kota
SHP-1390,BlueDart,Amritsar,Navi Mumbai
SHP-1391,FastFreight,Meerut,Gurgaon
SHP-1392,FastFreight,Jabalpur,Kota
SHP-1393,QuickShip,Ludhiana,Surat
SHP-1394,Delhivery,Ranchi,Patna
SHP-1395,RapidMove,Surat,Ahmedabad
SHP-1396,QuickShip,Varanasi,Kolkata
SHP-1397,FastFreight,Jaipur,Jabalpur
SHP-1398,FastFreight,Amritsar,Vijayawada
SHP-1399,QuickShip,Nagpur,Kota
SHP-1400,QuickShip,Pune,Howrah
SHP-1401,Delhivery,Chandigarh,Indore
SHP-1402,RapidMove,Guwahati,Jabalpur
SHP-1403,RapidMove,Pune,Ludhiana
SHP-1404,BlueDart,Vijayawada,Lucknow
SHP-1405,Delhivery,Howrah,Jabalpur
SHP-1406,QuickShip,Mysore,Ghaziabad
SHP-1407,QuickShip,Guwahati,Mumbai
SHP-1408,BlueDart,Bhopal,Mysore
SHP-1409,QuickShip,Hyderabad,Agra
SHP-1410,FastFreight,Jaipur,Meerut
SHP-1411,RapidMove,Nagpur,Kota
SHP-1412,FastFreight,Nagpur,Kolkata
SHP-1413,RapidMove,Vadodara,Noida
SHP-1414,Delhivery,Ranchi,Nashik
SHP-1415,Delhivery,Agra,Jodhpur
SHP-1416,QuickShip,Navi Mumbai,Pune
SHP-1417,BlueDart,Raipur,Ahmedabad
SHP-1418,FastFreight,Kolkata,Delhi
SHP-1419,RapidMove,Rajkot,Vijayawada
SHP-1420,RapidMove,Rajkot,Nashik
SHP-1421,Delhivery,Lucknow,Bhopal
SHP-1422,Delhivery,Kolkata,Vadodara
SHP-1423,FastFreight,Chandigarh,Vadodara
SHP-1424,FastFreight,Ahmedabad,Guwahati
SHP-1425,FastFreight,Faridabad,Mysore
SHP-1426,BlueDart,Thane,Nagpur
SHP-1427,RapidMove,Meerut,Vadodara
SHP-1428,Delhivery,Gwalior,Pune
SHP-1429,QuickShip,Jabalpur,Faridabad
SHP-1430,FastFreight,Jaipur,Noida
SHP-1431,QuickShip,Amritsar,Indore
SHP-1432,BlueDart,Lucknow,Varanasi
SHP-1433,FastFreight,Lucknow,Srinagar
SHP-1434,BlueDart,Bangalore,Hyderabad
SHP-1435,BlueDart,Ludhiana,Faridabad
SHP-1436,Delhivery,Visakhapatnam,Navi Mumbai
SHP-1437,RapidMove,Ludhiana,Amritsar
SHP-1438,BlueDart,Meerut,Hyderabad
SHP-1439,QuickShip,Varanasi,Meerut
SHP-1440,BlueDart,Nagpur,Lucknow
SHP-1441,Delhivery,Chennai,Ghaziabad
SHP-1442,Delhivery,Nagpur,Jodhpur
SHP-1443,BlueDart,Surat,Bhopal
SHP-1444,FastFreight,Ludhiana,Bangalore
SHP-1445,FastFreight,Solapur,Gwalior
SHP-1446,BlueDart,Vijayawada,Meerut
SHP-1447,QuickShip,Ahmedabad,Varanasi
SHP-1448,BlueDart,Ludhiana,Madurai
SHP-1449,QuickShip,Ludhiana,Delhi
SHP-1450,FastFreight,Indore,Raipur
SHP-1451,BlueDart,Ahmedabad,Madurai
SHP-1452,BlueDart,Jaipur,Nagpur
SHP-1453,Delhivery,Ranchi,Gurgaon
SHP-1454,RapidMove,Vadodara,Lucknow
SHP-1455,RapidMove,Chennai,Jabalpur
SHP-1456,RapidMove,Vijayawada,Jaipur
SHP-1457,QuickShip,Pune,Ghaziabad
SHP-1458,FastFreight,Kolkata,Madurai
SHP-1459,BlueDart,Lucknow,Bhopal
SHP-1460,QuickShip,Ludhiana,Nashik
SHP-1461,RapidMove,Indore,Chandigarh
SHP-1462,BlueDart,Indore,Mysore
SHP-1463,Delhivery,Srinagar,Ludhiana
SHP-1464,BlueDart,Visakhapatnam,Howrah
SHP-1465,Delhivery,Kota,Faridabad
SHP-1466,Delhivery,Bhopal,Gwalior
SHP-1467,BlueDart,Bhopal,Chandigarh
SHP-1468,QuickShip,Delhi,Guwahati
SHP-1469,Delhivery,Nashik,Visakhapatnam
SHP-1470,BlueDart,Gwalior,Jabalpur
SHP-1471,Delhivery,Madurai,Ludhiana
SHP-1472,FastFreight,Meerut,Howrah
SHP-1473,QuickShip,Varanasi,Noida
SHP-1474,FastFreight,Kolkata,Jodhpur
SHP-1475,QuickShip,Patna,Vadodara
SHP-1476,Delhivery,Kota,Vadodara
SHP-1477,Delhivery,Guwahati,Chennai
SHP-1478,BlueDart,Noida,Nashik
SHP-1479,FastFreight,Hyderabad,Kota
SHP-1480,BlueDart,Hyderabad,Vijayawada
SHP-1481,Delhivery,Gwalior,Vijayawada
SHP-1482,BlueDart,Lucknow,Mysore
SHP-1483,FastFreight,Agra,Bhopal
SHP-1484,QuickShip,Kota,Bhopal
SHP-1485,Delhivery,Howrah,Faridabad
SHP-1486,Delhivery,Raipur,Gwalior
SHP-1487,QuickShip,Noida,Thane
SHP-1488,RapidMove,Kota,Surat
SHP-1489,BlueDart,Delhi,Chennai
SHP-1490,FastFreight,Thane,Kota
SHP-1491,BlueDart,Kolkata,Hyderabad
SHP-1492,Delhivery,Hyderabad,Vadodara
SHP-1493,FastFreight,Rajkot,Gurgaon
SHP-1494,Delhivery,Amritsar,Surat
SHP-1495,FastFreight,Agra,Mumbai
SHP-1496,RapidMove,Ranchi,Howrah
SHP-1497,RapidMove,Vijayawada,Srinagar
SHP-1498,Delhivery,Varanasi,Lucknow
SHP-1499,Delhivery,Raipur,Nashik
SHP-1500,FastFreight,Mumbai,Thane
